18||#2	QTV kiểm tra hộ mình..số đơn hàng 4653663 hoàn thành chưa ạ...e có thể tới shop lấy hàng được chưa
18||#1474	Tai sao minh lay tu za lo ve dat lam hinh nen thi dc luc thi minh vuot di dau thi theo nhi
18||#1480	Sạc ốp lưng f3 khi sạc mình phải tháo ra khỏi máy hay sao ạ
18||#1481	chao ban trươc minh có mua sp oppo s1F.mua cha góp.vi công việc và xa chô đong tiên cha góp lên mình hay đóng muôn.co luc đê hai thang mơi đong môt lân.mây thang cuôi minh cung đong trê .cach đây hai tháng mình đong hai triêu vi thơi gian vơi hay đong đup hai thang lên mình kg nhớ đã hêt chả góp chưa.vi sau lân đong đó cho đên gjơ thi kg thây nhân viên của công ty gọi nhăc đong tiên.muôn biêt minh con nơ tiên nưa hay kg thi lam thê nao ban
18||#1483	Ad ơi. E có cái ốp sạc dự phòng của f3 nhưng nó sạc ko đc đầy máy ạ
18||#1486	um mai bảo vợ ra mua vậy thấy nó cũng đẹp đẹp là được
18||#1495	CHO HOI ColorOS 3.0, nền tảng Android 6.0 CO KHAC GI ANDROID KO ? TAC CA APP DEU GIONG NHAU HA ?
18||#1496	cho hoi HDH ColorOS 3.0, nền tảng Android 6.0 tuc la android may ?
18||#1502	Oppo f3 dùng ko di nhậy cho lắm
18||#1510	cho hỏi tại sao dùng ốp lưng sạc dự phòng sạc vào máy chưa đầy pin thì lại đột ngột tắt, mặc dù pin chưa đầy và trong ốp lưng vẫn còn pin dự phòng!!!!! xảy ra liên tục!! rất mong được hồi âm!!
18||#1511	nói thật là mình đã mua con nay và giơ đag phân vân k biết có nên trả lại máy lấy máy khác k
18||#1513	Mình trúg giải game đợt 1 shop đã gọi xác nhận và bảo mìh đợi 1 2 ngày để shop nhắn tin đến sau đó mìh đem cmnd cùg tn ấy đến nhận giải nhưg sao chưa thấy shop nhắn vậy ạ. Hay giờ mìh đến nhận luôn đc ko qtv. Vì mìh đăg kí nhận ở shop núi thàh nhưg giờ mìh ko còn ở đây nữa nên muốn nhận gấp ạ
18||#1515	Tặng Bảo hành 1 năm rơi vỡ màn hình, là như thế nào v ad
18||#1516	Xin loi cau hoi trước gửi nhầm,mình muốn hỏi nếu tối sạc pin để Luôn tới sáng mới rút ra ,vay lâu dài có sao không ạ ??
18||#1518	Nhìn màu máu khá là thuận mắt, thiết kế đẹp mà nội thất bên trong như thế nào?
18||#1520	Tốt nhất là nên mua con này với tầm giá tiền như này. Mọi người nên cân nhắc.
18||#1524	Màn hình trong veo như nước luôn thích ghê nơi. không biết chừng nào mới có tiền mua được điện thoại này.
18||#1525	RAM 4gb trong 1 chiếc điện thoại 7 tr rưỡi thì thật là quá khủng luôn á. Dành dụm mua một cái
18||#1526	Nhìn thấy con này có nhiều khuyến mãi hot ghê không biết có nên mua không.
18||#1531	giờ muốn mua con này mà chưa đủ tuổi phải làm sao
18||#1541	moi có dịch vụ hoàn tiền là như nào qtv
18||#1544	Tại sao tên máy là oppo nhưng nhà sản xuất lại là trung quốc vậy QTV
18||#1549	Minh mới nhận con F3 hồi chiều, vì hay quên nên mình không có lấy giấy bảo hành, mai minh ghé lấy có được không,
18||#1550	atutu là bao nhiu
18||#1565	Ngoài vàng hồng không biết sắp tới còn ra màu nào khác không
18||#1566	Mình ra shop thử điện thoại mình thấy con này tốt mình muốn lấy luôn cái mẫu đó có được không
18||#1573	Sắp hết ngày 14 rồi giờ mình đặt mai nhận hàng thì có được giả 500k không
18||#1677	cho mình hỏi chút con này xạc nhanh vooc ko vậy ah😣
18||#1679	ngay 13/14 minh tu den cua hang fbt gan nhat de lay hay sao vay
18||#1680	Ad ơi cho mình hỏi hồi trc mình thấy có quảng cáo oppo f3 plus. S bh mình tìm k thấy. Hay k có ạ.
18||#1683	Cho e hỏi bộ quà tặng mẹ quy ra thành tiền được ko Qtv?
18||#1684	Nếu mà đặt cọc tiền cọc có trả lại không ad
18||#1693	Nếu không nhận quà có được trừ vô tiền máy không
18||#1695	Cho e hỏi oppo f3 có nhiu màu ạ
18||#1697	cái máy tên gì loại gì xuất xứ từ đâu﻿
18||#1698	Mình có mua dản phẩm trong fpt năm ngoái ,bây giờ còn 2 tháng nưã kết thúc hợp đồng, giờ mjh mún mua thì phải lm s ad
18||#1702	tôi đặt cọc 500k, fpt vừa gọi ngày 13/5 - 14/5 đến nhận máy, có giảm thêm 500k. gói trả góp 4 tháng. số tiền trả trước là 2.247.000 - 500.000 (đặt cọc) - 500.000 (KM) = 1.247.000 đồng là số tiền đến ngày 13/5 phải trả đúng ko Ad? sddt là 0915.xxx 242
18||#1704	cho minh hoi phần quà tặng trị giá1150 ooo có thể đổi sang mua phụ kiện khác ko
18||#1705	dat coc som la co hang som phai khong a
18||#1707	cho em hỏi em đặt cọc rồi mà ngày 15 mới có hàng thi con duoc giam gia 500 khong a
18||#1708	mua trả góp nhận 500k pmh có đc trừ vào tiền thanh toán k qtv
18||#1710	xin cho hỏi . minh nhan hang vao ngay 13 va 14 la dc giảm 500k ah ad
18||#1712	mình đã đặt em nó xong rồi nhé, chờ ngày rước về thôi
18||#1715	Thế oppo f3 này có mấy màu vậy Ad
18||#1717	Tới ngày ra nhận máy có giảm thêm 500n nữa hả shop
18||#1722	Không nhận quà có được giảm tiền không vậy
18||#1727	Cho hỏi mh k lấy qua thay vào đó mh chu- tien dk k a.
18||#1768	F3 có mấy màu vậy Ad?
18||#1786	Hông biết mốt có máy ngoài shop thì mình có được test máy thử tại shop không vậy admin?
18||#1787	Chờ máy ra mọi người review thử coi sao. Chứ mình thấy bên một vài diễn đàn công nghệ thì con này tốt.
18||#1805	E moi vừa mua oppo f1s 64g ngay 8/5 tra hết tat ca tiền.nếu e h mn doi qua oppo f3 thành gói trả góp thi co dc k ạ.nếu duoc thi nhu the nao ạ.mong phan hồi.
18||#1809	Mình đã đặt cọc rồi ! Mà 18/5 mình tới làm thủ tục trả góp thì có bị trễ ko và còn đc nhận quà khuyến mãi ko ?
18||#1811	Ngày nào thì cửa hàng chính thức bán sẫn phẫm vậy qtv
18||#1813	Cho e hỏi cọc 500 r khi nào mình nhận hàng ạ? Với cả cọc r cần đóng 30% Để trả góp không ạ?
18||#1814	Máy f3 này mới đặt cọc còn chưa có hàng ạ
18||#1824	tối qa vào vivo chơi đc tư vấn f3 . Thấy tặng đồ quá trời, thấy chụp ảnh cũng đẹp nữa nên mình quyết định đặt hàng. Gọi đt đặt đc k ad?
18||#1825	mình gọi đt đặt hàng đc k hay phải ra cửa hàng
18||#1826	đặt hàng thì mình dằn cọc trc hay làm hồ sơ mình mới đưa tiền
18||#1827	đặt hàng khi nào có vậy ad?
18||#1837	Mua luôn có đc ko ạ
18||#1848	Cái Octa core này 1.5Ghz là tính muôn ép xung chưa vậy ad? Nếu mà ép xung thì được bao nhiêu?
18||#1853	Con này bây giờ đặt hàng thì khoảng bao lâu sẽ có máy ta^^ háo hức ghê gớm :>
18||#1856	Đặt cọc bây giờ thì bao h có máy v ad ?
18||#1858	khi nào bán ra thế ad ?
18||#1861	Gui cho mjnh mot caj nha,tra truoc 30 o/o
18||#1865	Chuơng trình Ffriend có dành cho gv k ạ?
18||#1871	xin hỏi bây giờ dặt mua thì chừng nào lấy máy
18||#1887	Hds là hd sai gon ha ad
18||#1889	Hag chua ve .ma tam het hsg la sao
18||#1894	Neu tam giá nay thi cho minh dat 1 con ngay khi nao co san pham ve nhe
18||#1900	F3 bữa nay nhiều zay
18||#1904	Cho em hỏi mình sạc mà bị tình trạng cắm vào rút ra cấm vào và đang sạc bị cúp điện vậy 2 tình trạng lập lại nhiều lần vậy có ảnh hưởng gì hg ạ
18||#1915	Tính từ lúc đặt hàng thì sau tg bao lâu thì nhận dc hàng ạ Sau khi nhận hàng thì có dc trả lại hàng nếu k thích k ạ
18||#1916	em muon mau oppo f1 cu thi phai lam sao
18||#1934	Dùng bao lâu thì hết pin ạ. Sạc khoảng bao nniều h là đầy ạ???
18||#1955	mình mua ngày 22/4 thi giờ thu lại còn bao nhiêu v ad
18||#1968	sao oppo f1s 32GB ko bán nữa vậy anh
18||#1975	Cho e hỏi oppo f1s khi nào mới nâng cấp được tới android 7 vậy ?
18||#1977	Mjh o Binh Thanh, Tp.HCM
18||#1980	Chao ban!
18||#1981	Cho em hỏi OPPO F1s khi mình xóa bớt mấy cái ứng dung nó có trả lại dung lượng cho mk k ạ
18||#1985	oppo f1s 2016 co nang lên android 7 duoc khong vay shop
18||#1995	Sao bảo lãi 0% nhưng vẫn chênh nhiều vậy bạn ơi
18||#2011	Cho mjh hoi ve f1 2017 voi
18||#2013	Pin oppo của em dùng 3 tiếng đã hết sạch pin rồi, có thay pin mới được không ạ
18||#2016	Ad cho mình hỏi. Máy mình f1s 2017 mình để trong túi quần trật nó cứ hay bị liệt cảm ứng ý, kiểu k bấm được chữ.tăts nguồn đi bật lại bấm được chữ. Không biết máy bị lỗi j ạ?
18||#2025	S dt của em ko nhận thẻ sd. Nó báo thẻ bị lỗi. Thẻ sd e mới mua. Mà cũng không nhận
18||#2036	Cho mình số đt viettel của của hàng fpt tam kỳ, quảng nam đc k?
18||#2038	Bên fpt có giữ lại cmnd k
18||#2039	Bên fpt có giữ lại cmnd hong ạ
18||#2041	cho ben ban co ho tro cho nguoi chua 18 kh vay
18||#2068	cho em hoi. em dang sai oppo f1s tu dung mat the nho, thao ra gan lai nhung van k duoc. la do dt hay the nho vay
18||#2073	tai sao mua online lai re hon 1tr a
18||#2076	oppo f1s thì phải trị giá 5.490.000 NĐ nó giảm 500.000 NĐ mà
18||#2083	Gia 5.990.000 chi ap dung cho goi mua dat hang. Hay la mua truc tiep o cua hang co dc khong
18||#2112	Oppo hiện nay có máy nào màn hình 7.0 inch hk ạ
18||#2113	Chào add...oppo f1s pin không tháo rời được v lỡ sử dụng lâu nên bị hỏng thì có thay được k ạ..thank add
18||#2117	Mk dùng oppo f1w được 7 tháng. Nhưng bh loa ngoài nó bị nhỏ. Để loa max mà nó vẫn nhỏ như lúc bật nhỏ. Nguyên nhân là sao v. Do nó hỏng loa hay là, do nó bị bẩn ạ. Cách khắc phục..
18||#2118	Tại sao F1s2017 Đang bán chạy công ty lại ngừng sản xuất vậy ac
18||#2128	cho mình hỏi đặt habgf rồi thì mấy ngày sau có thể nhận hàng vậy ad
18||#2129	Cho mình hỏi ...máy đang dùng , nhung camera trc ko có , camera sau lại mờ ... Cho hoi bị hư gi thế
18||#2137	Cho mình hỏi cửa hàng nào gần quận 12 hoặc gv còn con f1s 2017 có sẵn
18||#2141	Có fpt shop nào trong khu vực lặng sơn k ạ
18||#2143	Đat hang ko mua dc ko shop
18||#2146	Minh muon mua f1s nay nhung ra fpt ma nhan vien noi fpt ngung kinh doanh loai nay roi ma.
18||#2147	Mình thấy tai nghe còn khá nhiều lỗi nghe mà nó lỏng quá nên toàn nghe loa ngoài thôi. Bạn có cách nào để có thể nghe mà không bị lỏng không ạ. Đang nghe cái nó tuột ra ức chế lắm ạ. Ảnh hưởng tới người xung quanh nữa ạ. Cho mình xin cách khắc phục giùm ạ
18||#2149	Em đặt hàng giao đến shop thì mất bao lâu ạ em ở thị xã Đồng Xoài,Bình Phước
18||#2150	Nếu mình đặt hàng giao tại shop nếu xem mình kh vừa ý có đc khong lay khong shop
18||#2189	Cho em hỏi s sạc điện thoại bằng sạc dự phòng mà bị ngắt điện nhiều lần vậy có s hg ạ
18||#2191	Dạ chào a. Sao ĐT em là oppo f1s lo Gì ko sao mà cài nhạc chuông mà người ta gọi tới ko nghe đc
18||#2195	Cho e hỏi đang sạc dự phòng thì bị ngắt nguồn điện vậy có s hg ạ
18||#2198	ad cho mình hỏi.. Mình lỡ ấn 7 lần nó vô bạn đã là nhà phát triển. Thì m mình có thể bị sao ko ạ nằm
18||#2201	Mình nhớ là nó giảm xuống còn 6 triệu mak
18||#2203	Sau khi cài ứg dụg Flash Alerts 2 và cho phép tất cả các quyền + thêm cài ổ khóa ứng dụng đa nhiệm mà máy vẫn không nhấp nháy đèn las khi có cuộc gọi và tn
18||#2204	E ms mua cn oppo f1s ah
18||#2205	Ad cho e hỏi làm sao dẻ biết oppo f1s thật hay giả ah
18||#2211	Oppo tâu câu hinh cao giá dẻ ư đừng mơ nhé
18||#2223	máy mình 20% sạc 4 tiếng mới đầy bin chắc bị lỗi rùi,qtv kiểm tra máy dùm mình có phải mua ở fpt ko imei1:864212033607090 imei2:864212033607082
18||#2243	Em bị mất phiếu trả góp thì bây giờ phải làm sao ạ?
18||#2245	mã máy A1601 là máy của 2016 mà sao cấu hình lại có rom 64gb, ram 4gb nhỉ. e băn khăn quá
18||#2248	cho e hỏi xí ạ
18||#2249	PMH có thể trừ tiền khi thanh toán luôn đc k vậy QTV
18||#2252	trong hop dien thoai co san gi
18||#2259	Khu vuc phú giáo.Bình Duơng có fbt shop ko ad
18||#2260	Qtv cho hoi tâm 7trieu dien thoại nao choi game muot vây
18||#2264	qtv cho t hỏi .. oppo f1s 2017 đuôi xem phim của nó là j v... nó k phải là 3gp hả
18||#2266	minh moi mua thuc chat van chua hieu lam ve may nay vi minh choi dien tu thay may nay co ve ko an tam lieu co tu ket loi tu may toi sang may khac ko
18||#2272	Sao nghe được 1 loa phải mấy vậy ad. Còn cái loa trái để làm gì thế
18||#2276	em muon mua oppo f1s mau den
18||#2278	A oi cho e hỏi jo hàng oppo f1s 2017 jo , mua về tình trang lỗi máy co nhiu k ạ .. E định mua mà sợ máy lỗi jo đanq phân vân
18||#2279	cho mình hỏi. máy mình khi phát loa ngoai. hoặc nghe nhạc, nghe được có một bên loa vay do vấn đề gì
18||#2280	E làm như vậy mà vẫn k chụp đc nhấn giữ nút nguồn rồi nút tăng hay giàm âm lượng vẫn k dc
18||#2289	dạ cho em hỏi giờ này đặt mua mai lại cửa hàng có được giá 5.990.000 k ạ
18||#2291	Ngày mai máy còn giảm gia không ad
18||#2303	F1s e mua đợt đầu ko biết bị sao mà viết dấu gửi đi lần thứ nhất thì đc viết lần hai thì thêm dấu ko đc phải nhấn trở về r nhấn vô phím lại v mới viết dấu lại đc. Mong chỉ e cách khắc phục với!
18||#2308	Fpt mở cửa từ từ mấy giờ đến mấy giờ
18||#2317	Ad ơi cho mk hỏi đật trướng mình có lên mạng tham khảo có máy oppo 4990k sao h nó lên tận 6 triệu oy vậy ak
18||#2325	Minh lam ho so rui ma h k biet ket qua
18||#2335	Fut cho hoi mih mua opop f12017 thi co cai lay sim ko vay
18||#2336	Opopf12017
18||#2340	cho mình hỏi tang pmh có được trừ vào san pham ko ạ
18||#2343	mình hỏi với: hình ảnh trên zalo khi mình tải về mà sao vô thư viên không có vậy ạ, facebook tải về thì có hình
18||#2365	F1s
18||#2368	Add cho em hỏi , em mới mua về , em lỡ chơi cho tắt máy , rồi cắm sạc tới 6h sáng và em chơi còn 60% , để tới chiều về , em mở lên thì còn 18% , tại vì em quên tắt dữ liệu ,rồi chơi xíu còn 15% thì em cắm sạc lúc 19h15 đến 21h25 , em mới hỏi bà chị thì chị nói là phải sạc 3 lần 8 tiếng , em đang phân vân ko pk có nên cắm sạc lần 2 và lần 3 nữa ko??? Vậy máy có bị làm sao ko ạ?! Mong add sớm phản hồi
18||#2370	QTV ơi cho mình hỏi vs đt oppo a39 mình mới mua,chưa lắp sim+thẻ nhớ. mình dùng thi thoảng máy đơ màn hình rồi tự khởi động lại là bi sao vậy @@ ĐT minh mới mua 2 ngay thôi
18||#2373	Tặng phiếu mua hàng . Em co thể lấy tiền mặt ko
18||#2382	Nếu như ngày mai mình mua Oppo 2017 có còn được giảm giá 500k không.
18||#2395	ad cho em hỏi.nếu em mua f1s 2017 trả góp trong bao nhiêu ngày em được đổi trả nối máy gặp vấn đề
18||#2396	cho minh hoi chut.mink moi mua oppo f1s 2017 moi dc hon 1 thang.khi mua minh dc tang the nho 16g vs sac du phong 5000mah.nhung minh k dung den sac du phong lan nao de day 1 thang nay.gio lay ra sai thi sac dc dung 1 lan lan thu 2 sac k dc.vay minh co dc doi sac du phong khac hay khong.thank
18||#2399	Tặng phiếu 500k có được trừ trực tiếp vào giá máy k?
18||#2405	Mua không can dua trước đuợc không ad
18||#2407	hiện tại số điejn thoại của tôi mua rất nhiều sản phẩm của fpt shop, tôi cung cấp rất nhiều thông tin cho fptshop. Như vậy nếu người khác gọi lên tổng đài và cung cấp sdt của tui thì mọi thông tin của tôi điều bị tiết lộ hết sao. Mong được hồi đáp đầy đủ và chính xác
18||#2408	thủ tục sao duyệt lâu vậy nói nữa tiếng ma lâu quá
18||#2410	ad cho em hỏi tại sao máy em mới mua 3 ngày thì khi sạc pin nó lại nóng máy
18||#2418	em sn 98 thi tinh la 20 hay 19 tuoi vay
18||#2446	Cho e hỏi oppo f1s 2017 gõ nhẹ phần camera hoặc lắc nhẹ thì có tiếng lạch cạch kêu ở trong là sao vậy?
